FactVentaID,InvoiceNo,DateID,ClienteID,ProductoID,Quantity,UnitPrice,TotalVenta
0,536365,1,4017.0,3408,6,2.55,15.299999999999999
1,536365,1,4017.0,2730,6,3.39,20.34
2,536365,1,4017.0,2954,8,2.75,22.0
3,536365,1,4017.0,2898,6,3.39,20.34
4,536365,1,4017.0,2897,6,3.39,20.34
5,536365,1,4017.0,1625,2,7.65,15.3
6,536365,1,4017.0,772,6,4.25,25.5
7,536366,1,4017.0,1510,6,1.85,11.100000000000001
8,536366,1,4017.0,1509,6,1.85,11.100000000000001
9,536367,1,535.0,3195,32,1.69,54.08
10,536367,1,535.0,1618,6,2.1,12.600000000000001
11,536367,1,535.0,1621,6,2.1,12.600000000000001
12,536367,1,535.0,1622,8,3.75,30.0
13,536367,1,535.0,1210,6,1.65,9.899999999999999
14,536367,1,535.0,3256,6,4.25,25.5
15,536367,1,535.0,1500,3,4.95,14.850000000000001
16,536367,1,535.0,1499,2,9.95,19.9
17,536367,1,535.0,788,3,5.95,17.85
18,536367,1,535.0,789,3,5.95,17.85
19,536367,1,535.0,800,4,7.95,31.8
20,536367,1,535.0,2707,4,7.95,31.8
21,536368,1,535.0,1825,6,4.25,25.5
22,536368,1,535.0,1779,3,4.95,14.850000000000001
23,536368,1,535.0,1778,3,4.95,14.850000000000001
24,536368,1,535.0,1780,3,4.95,14.850000000000001
25,536369,1,535.0,790,3,5.95,17.85
26,536370,1,190.0,1601,24,3.75,90.0
27,536370,1,190.0,1600,24,3.75,90.0
28,536370,1,190.0,1599,12,3.75,45.0
29,536370,1,190.0,769,12,0.85,10.2
30,536370,1,190.0,871,24,0.65,15.600000000000001
31,536370,1,190.0,1,48,0.85,40.8
32,536370,1,190.0,809,24,1.25,30.0
33,536370,1,190.0,327,18,2.95,53.1
34,536370,1,190.0,1226,24,2.95,70.80000000000001
35,536370,1,190.0,1506,24,1.95,46.8
36,536370,1,190.0,1533,24,1.95,46.8
37,536370,1,190.0,1508,24,1.95,46.8
38,536370,1,190.0,1535,20,0.85,17.0
39,536370,1,190.0,773,24,1.65,39.599999999999994
40,536370,1,190.0,1767,24,2.95,70.80000000000001
41,536370,1,190.0,896,12,3.75,45.0
42,536370,1,190.0,1421,24,0.42,10.08
43,536370,1,190.0,1424,24,0.42,10.08
44,536370,1,190.0,1375,36,0.65,23.400000000000002
45,536370,1,190.0,3915,3,18.0,54.0
46,536371,1,1039.0,1007,80,2.55,204.0
47,536372,1,4017.0,1509,6,1.85,11.100000000000001
48,536372,1,4017.0,1510,6,1.85,11.100000000000001
49,536373,1,4017.0,3408,6,2.55,15.299999999999999
50,536373,1,4017.0,2730,6,3.39,20.34
51,536373,1,4017.0,2954,8,2.75,22.0
52,536373,1,4017.0,148,6,4.95,29.700000000000003
53,536373,1,4017.0,2563,6,1.06,6.36
54,536373,1,4017.0,859,6,1.06,6.36
55,536373,1,4017.0,351,6,1.06,6.36
56,536373,1,4017.0,348,6,1.06,6.36
57,536373,1,4017.0,2868,2,4.95,9.9
58,536373,1,4017.0,2870,4,6.95,27.8
59,536373,1,4017.0,2867,6,2.1,12.600000000000001
60,536373,1,4017.0,2871,6,2.55,15.299999999999999
61,536373,1,4017.0,2898,6,3.39,20.34
62,536373,1,4017.0,2897,6,3.39,20.34
63,536373,1,4017.0,1625,2,7.65,15.3
64,536373,1,4017.0,772,6,4.25,25.5
65,536374,1,2014.0,469,32,10.95,350.4
66,536375,1,4017.0,3408,6,2.55,15.299999999999999
67,536375,1,4017.0,2730,6,3.39,20.34
68,536375,1,4017.0,2954,8,2.75,22.0
69,536375,1,4017.0,148,6,4.95,29.700000000000003
70,536375,1,4017.0,2563,6,1.06,6.36
71,536375,1,4017.0,859,6,1.06,6.36
72,536375,1,4017.0,351,6,1.06,6.36
73,536375,1,4017.0,348,6,1.06,6.36
74,536375,1,4017.0,2868,2,4.95,9.9
75,536375,1,4017.0,2870,4,6.95,27.8
76,536375,1,4017.0,2867,6,2.1,12.600000000000001
77,536375,1,4017.0,2871,6,2.55,15.299999999999999
78,536375,1,4017.0,2898,6,3.39,20.34
79,536375,1,4017.0,2897,6,3.39,20.34
80,536375,1,4017.0,1625,2,7.65,15.3
81,536375,1,4017.0,772,6,4.25,25.5
82,536376,1,2164.0,1035,48,3.45,165.60000000000002
83,536376,1,2164.0,774,64,2.55,163.2
84,536377,1,4017.0,1509,6,1.85,11.100000000000001
85,536377,1,4017.0,1510,6,1.85,11.100000000000001
86,536378,1,1719.0,1280,10,1.95,19.5
87,536378,1,1719.0,3389,10,1.95,19.5
88,536378,1,1719.0,325,10,2.95,29.5
89,536378,1,1719.0,174,10,0.85,8.5
90,536378,1,1719.0,3283,12,3.75,45.0
91,536378,1,1719.0,3284,6,3.75,22.5
92,536378,1,1719.0,361,12,0.85,10.2
93,536378,1,1719.0,176,10,1.65,16.5
94,536378,1,1719.0,657,6,2.55,15.299999999999999
95,536378,1,1719.0,1250,6,2.55,15.299999999999999
96,536378,1,1719.0,440,120,0.42,50.4
97,536378,1,1719.0,929,24,0.55,13.200000000000001
98,536378,1,1719.0,931,24,0.55,13.200000000000001
99,536378,1,1719.0,3277,24,0.55,13.200000000000001
